Typ usługi,Widełki cenowe,Wymagana dostępność,Termin wykonania,Szczegóły,Zasięg usługi
Kwiaty na okazję,80-400 PLN,Za tydzień,06-02-2026,Wiązanka urodzinowa,18 km
Remont mieszkania,500-5000 PLN,Za tydzień,19-01-2026,Malowanie pokoju 20m2,30 km
Kwiaty na okazję,80-400 PLN,Za tydzień,16-01-2026,Dekoracja kwiatowa sali,18 km
Kwiaty na okazję,80-400 PLN,Od zaraz,30-01-2026,Pudełko kwiatowe flowerbox,13 km
Naprawa hydrauliczna,150-800 PLN,Od zaraz,27-01-2026,Cieknący kran w kuchni,19 km
Pieczenie tortu,200-600 PLN,Za tydzień,18-01-2026,Tort piętrowy na wesele,12 km
Remont mieszkania,500-5000 PLN,Za tydzień,23-01-2026,Gipsowanie ścian i sufitów,10 km
Pieczenie tortu,200-600 PLN,Od zaraz,20-01-2026,Wypieki bezglutenowe,8 km
Kwiaty na okazję,80-400 PLN,Do uzgodnienia,21-01-2026,Dekoracja stołu na komunię,0 km
Naprawa hydrauliczna,150-800 PLN,Od zaraz,13-01-2026,Montaż baterii wannowej,18 km
