Typ usługi,Widełki cenowe,Wymagana dostępność,Termin wykonania,Szczegóły,Zasięg usługi
Kwiaty na okazję,80-400 PLN,Do uzgodnienia,04-02-2026,Dekoracja kwiatowa sali,23 km
Kwiaty na okazję,80-400 PLN,Do uzgodnienia,20-01-2026,Wiązanka urodzinowa,7 km
Pieczenie tortu,200-600 PLN,Do uzgodnienia,14-01-2026,Tort piętrowy na wesele,0 km
Kwiaty na okazję,80-400 PLN,Do uzgodnienia,26-01-2026,Dekoracja kwiatowa sali,18 km
Naprawa hydrauliczna,150-800 PLN,Do uzgodnienia,17-01-2026,Wymiana rur w łazience,5 km
Kwiaty na okazję,80-400 PLN,Od zaraz,31-01-2026,Wiązanka urodzinowa,17 km
Naprawa hydrauliczna,150-800 PLN,Od zaraz,09-02-2026,Montaż nowej baterii wannowej,30 km
Remont i budowa,500-5000 PLN,Od zaraz,29-01-2026,Malowanie pokoju 20m2,7 km
Remont i budowa,500-5000 PLN,Za tydzień,28-01-2026,Montaż mebli kuchennych,16 km
Pieczenie tortu,200-600 PLN,Za tydzień,22-01-2026,Tort czekoladowy z owocami,7 km
