Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Motoryzacyjna,Premium ($$$),14 km,2026-02-22,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),8 km,2026-01-17,Przewóz szafy (sam kierowca),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Standard ($$),10 km,2026-02-22,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),9 km,2026-02-01,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),18 km,2026-02-08,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),6 km,2026-02-04,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Standard ($$),30 km,2026-01-16,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),6 km,2026-01-17,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),19 km,2026-02-10,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),7 km,2026-03-01,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),3 km,2026-02-21,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Budget ($),7 km,2026-03-10,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),10 km,2026-02-13,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),23 km,2026-01-12,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),9 km,2026-02-10,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
